,ATPR,_id,air_temperature,amount_of_solar_radiation,nodeID,precipitation,relative_humidity,time,wind_direction,wind_speed
67,,597f6449fb393e001402067e,27.2,,7,,,2017-07-31T17:09:28.000000Z,,
68,1010.0,597f644efb393e0014020680,,,7,,,2017-07-31T17:09:32.000000Z,,
69,,597f6451fb393e0014020682,,,7,,,2017-07-31T17:09:36.000000Z,,0.0
70,,597f6456fb393e0014020688,,,7,,,2017-07-31T17:09:40.000000Z,270.0,
71,,597f66a1fb393e00140207cd,,,7,,95.2,2017-07-31T17:19:26.000000Z,,
72,,597f66abfb393e00140207d1,27.0,,7,,,2017-07-31T17:19:37.000000Z,,
73,1010.0,597f66b2fb393e00140207d6,,,7,,,2017-07-31T17:19:44.000000Z,,
74,,597f66b5fb393e00140207d9,,,7,,,2017-07-31T17:19:48.000000Z,,0.0
75,,597f66b9fb393e00140207dd,,,7,,,2017-07-31T17:19:52.000000Z,270.0,
76,,597f6904fb393e0014020923,,,7,,94.7,2017-07-31T17:29:38.000000Z,,
77,,597f6908fb393e0014020925,26.8,,7,,,2017-07-31T17:29:42.000000Z,,
78,1010.0,597f690bfb393e0014020929,,,7,,,2017-07-31T17:29:46.000000Z,,
79,,597f690ffb393e001402092b,,,7,,,2017-07-31T17:29:50.000000Z,,0.0
80,,597f6913fb393e001402092f,,,7,,,2017-07-31T17:29:53.000000Z,270.0,
81,,597f6917fb393e0014020931,,,7,0.0,,2017-07-31T17:29:57.000000Z,,
82,,597f691bfb393e0014020941,,,7,,,2017-07-31T17:30:01.000000Z,,
83,,597f6b4cfb393e0014020a69,,,7,,95.7,2017-07-31T17:39:22.000000Z,,
84,,597f6b66fb393e0014020a7c,26.8,,7,,,2017-07-31T17:39:47.000000Z,,
85,1010.0,597f6b70fb393e0014020a87,,,7,,,2017-07-31T17:39:57.000000Z,,
86,,597f6b7bfb393e0014020a9c,,,7,,,2017-07-31T17:40:08.000000Z,,0.0
87,,597f6b83fb393e0014020aab,,,7,,,2017-07-31T17:40:17.000000Z,270.0,
88,,597f6db4fb393e0014020bdc,,,7,,95.6,2017-07-31T17:49:38.000000Z,,
89,,597f6db8fb393e0014020be0,27.0,,7,,,2017-07-31T17:49:42.000000Z,,
90,1009.0,597f6dbcfb393e0014020be4,,,7,,,2017-07-31T17:49:46.000000Z,,
91,,597f6dc0fb393e0014020bea,,,7,,,2017-07-31T17:49:50.000000Z,,1.0
92,,597f6dc3fb393e0014020bed,,,7,,,2017-07-31T17:49:54.000000Z,270.0,
